date,pm2.5,temp,dewp,pres,wspm
3/1/2013,5.083333333,0.8125,-19.58333333,1023.858333,2.133333333
3/2/2013,33.33333333,-0.395833333,-16.11666667,1023.729167,0.929166667
3/3/2013,57.54166667,5.329166667,-12.99583333,1011.3125,1.3625
3/4/2013,20.79166667,9.2375,-13.46666667,1014.404167,2.383333333
3/5/2013,106.9583333,6.4625,-9,1007.795833,0.766666667
3/6/2013,235.2916667,7.345833333,-4.766666667,1004.345833,1.041666667
3/7/2013,200.6666667,9.2375,-3.895833333,999.2291667,1.008333333
3/8/2013,182.375,12.0375,-2.870833333,996.1541667,2.104166667
3/9/2013,58.25,7.1125,-11.37916667,1001.666667,3.291666667
3/10/2013,30.25,7.291666667,-16.71666667,1017.016667,2.345833333
3/11/2013,123.9583333,5.3625,-8.420833333,1010.508333,1.258333333
3/12/2013,137.8333333,5.1875,-0.658333333,1005.908333,1.208333333
3/13/2013,13.25,4.741666667,-13.32083333,1019.395833,2.129166667
3/14/2013,109,3.4875,-4.691666667,1018.3125,1.5
3/15/2013,183.2916667,5.666666667,-2.445833333,1011.358333,0.9375
3/16/2013,229.1666667,8.870833333,-0.3625,1013.541667,1.4875
3/17/2013,276.4166667,9.525,1.633333333,998.8541667,1.041666667
3/18/2013,39.875,8.670833333,-11.44166667,998.2333333,3.691666667
3/19/2013,36.29166667,1.233333333,-0.779166667,1005.9625,1.4
3/20/2013,32.375,1.3875,-4.633333333,1013.85,1.275
3/21/2013,123.5,3.158333333,-2.275,1001.908333,0.983333333
3/22/2013,67.79166667,6.7875,-7.575,1008.229167,2.275
3/23/2013,48.41666667,4.045833333,-7.529166667,1005.683333,2.475
3/24/2013,18.20833333,4.829166667,-14.55833333,1013.033333,1.975
3/25/2013,97.70833333,4.675,-6.85,1012.129167,1.404166667
3/26/2013,188.4166667,6.333333333,-3.354166667,1004.370833,1
3/27/2013,110.4583333,10.1125,-7.304166667,1002.204167,2.645833333
3/28/2013,13.33333333,7.841666667,-14.67083333,1012.116667,2.141666667
3/29/2013,54.25,5.641666667,-9.179166667,1013.15,1.745833333
3/30/2013,82.20833333,6.275,-4.366666667,1013.5125,1.866666667
3/31/2013,150.125,4.720833333,1.733333333,1010.025,1.629166667
3/1/2014,44.04166667,16.89583333,-8.4625,1007.9375,1.6875
3/2/2014,118.0416667,17.42916667,-2.225,1003.9125,1.529166667
3/3/2014,202.3043478,17.72916667,3.941666667,1003.7625,1.308333333
3/4/2014,168.4782609,21.29166667,0.654166667,1002.245833,2.083333333
3/5/2014,117.7083333,16.55416667,-1.258333333,1012.420833,2.020833333
3/6/2014,69.41666667,14.4625,-0.083333333,1009.7375,1.375
3/7/2014,99.75,15.24166667,-0.283333333,1006.820833,1.504166667
3/8/2014,158.5416667,16.79166667,4.020833333,1007.8375,1.520833333
3/9/2014,228.0416667,18.68333333,9.579166667,1006.9875,1.329166667
3/10/2014,133.75,18.0375,6.7375,1009.529167,1.995833333
3/11/2014,94.875,16.32083333,-0.708333333,1004.733333,1.095833333
3/12/2014,95.5,14.46666667,6.945833333,1003.904167,1.183333333
3/13/2014,163.3333333,16.60416667,8.433333333,1010.083333,1.654166667
3/14/2014,91.5,13.4375,1.870833333,1011.308333,1.870833333
3/15/2014,59.41666667,15.64583333,-0.208333333,1007.216667,1.825
3/16/2014,56.04166667,18.37083333,-2.4875,1006.654167,2.0125
3/17/2014,53.04166667,19.58333333,-0.966666667,1003.8125,1.854166667
3/18/2014,115.625,18.98333333,8.8,1001.1125,1.891666667
3/19/2014,121.1666667,19.45833333,11.38333333,1005.054167,1.8
3/20/2014,175.8333333,18.59583333,8.616666667,1008.004167,1.991666667
