date,pm2.5,temp,dewp,pres,wspm
6/1/2013,58.08333333,25.45416667,5.725,997.6458333,1.329166667
6/2/2013,167.2083333,21.54583333,14.2625,996.1166667,1.195833333
6/3/2013,121.5,26.1875,13.15833333,996.0166667,1.308333333
6/4/2013,134.7916667,20.69583333,16.43333333,1003.125,1.291666667
6/5/2013,130.7083333,18.7,17.3375,1003.3375,1.491666667
6/6/2013,110.25,19.22083333,17.6875,1001.5125,0.9125
6/7/2013,123.2083333,20.00833333,18.85,999.7833333,0.870833333
6/8/2013,121.75,19.57916667,18.69583333,999.0125,0.704166667
6/9/2013,39.08695652,18.25,16.40416667,1002.058333,0.9
6/10/2013,9,20.6375,13.90416667,1003.6125,0.929166667
6/11/2013,5.590909091,21.28333333,13.73333333,999.4458333,1.783333333
6/12/2013,4.35,22,13.38333333,998.9666667,1.475
6/13/2013,30.95238095,24.6125,15.00416667,999.375,1.625
6/14/2013,105,26.44166667,12.5,998.9541667,2.2875
6/15/2013,127.4166667,25.57083333,15.14583333,998.2875,1.1125
6/16/2013,167.25,22.325,18.35,995.1125,0.6375
6/17/2013,62.25,26.2875,16.67083333,992.7208333,1.320833333
6/18/2013,33.29166667,28.17083333,15.00833333,988.9916667,1.454166667
6/19/2013,38.08333333,29.44583333,14.4,993.7541667,1.358333333
6/20/2013,34.16666667,27.09166667,16.76666667,998.5416667,0.979166667
6/21/2013,28.83333333,26.87916667,16.9625,1000.2875,1.541666667
6/22/2013,32.71428571,22.18333333,18.13333333,999.6333333,1.025
6/23/2013,15.66666667,25.91666667,16.2875,994.7958333,1.391666667
6/24/2013,46.16666667,24.325,18.9125,993.6541667,1.5125
6/25/2013,57.6,21.69166667,19.49166667,991.8208333,1.195833333
6/26/2013,77.41666667,26.07083333,20.25833333,988.3625,1.316666667
6/27/2013,43.55555556,28.3,18.575,989.3416667,1.416666667
6/28/2013,204.7083333,24.9875,21.18333333,992.3375,1.395833333
6/29/2013,99.54166667,22.93333333,20.4875,995.6625,0.95
6/30/2013,225.5416667,24.39583333,22.5125,994.9333333,0.858333333
6/1/2014,161.0416667,27.95833333,22.0375,993.7291667,1.95
6/2/2014,81.29166667,29.6125,14.125,993.5791667,2.195833333
6/3/2014,23.25,28.3875,11.3125,995.3583333,1.425
6/4/2014,24.16666667,30.84583333,12.3875,990.9208333,1.729166667
6/5/2014,16.16666667,30.39166667,11.90416667,991.2333333,2.033333333
6/6/2014,8.541666667,29.97916667,10.18333333,993.5916667,1.8625
6/7/2014,10.45833333,29.04166667,11.84166667,993.5708333,2.054166667
6/8/2014,20.875,29.25416667,12.9125,993.55,1.858333333
6/9/2014,38,27.6,16.24583333,994.7291667,2.2125
6/10/2014,84.83333333,24.875,19.59583333,995.0291667,1.75
6/11/2014,116.2083333,25.69166667,20.9625,997.0916667,1.245833333
6/12/2014,157.125,29.02916667,22.64583333,998.2625,1.229166667
